number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence
6,111.7190167,52.63207765,78.77724863,34.02191716,1.53123782,1.655799417,192.981,13.69752471,76.72193811,54.45359308,740.3,991.0823529,702.2459258,923.1530908,1.733898078,1.010928151,810.6,686.9011765,268.2543258,348.1937463,156.5,112.6117647,140.2809466,89.52054905,1.704431684,1.588650264,205,28.08235294,61.65157473,74.78425347,5941.904833,2849.933,1416.356923,64.65761144,1.432972575,1.233623362,11848.571,1580.419941,4457.908773,3938.36104,65.85333333,100.9376471,35.37696696,63.26913673,1.396389568,0.735536888,138.63,74.98588235,54.67746387,57.00884488,7.493666667,4.701058824,4.568861426,1.283750581,1.57318227,1.324543565,12.878,2.194235294,4.244813371,5.152449657,112.00443,98.50818941,15.54035306,1.356402159,1.003175543,0.755184315,399.97342,70.57416353,145.6216826,152.8913357,2.666666667,2.082352941,2.492882872,2.060621801,1.71707598,1.420702546,3,1,1.105541597,0.38230769
3,56.62163333,60.1263,54.69106802,58.4881804,1.064867711,0.980199721,35.8233,22.14898,14.63510791,13.53984969,707.9333333,765.82,669.8729883,735.9560275,1.048007242,0.957056075,527.7,294.78,218.4496026,192.7668996,171,156.6,162.8840557,150.3602484,1.050182101,1.089030871,129,16.8,53.72150407,47.10668742,4819,5611.6,3379.601177,4447.785046,0.865123614,0.79637508,7018,2978.4,2936.145886,2564.342926,48.86666667,48.66,40.86316868,39.26253525,0.950087239,0.879519409,62.3,24.92,25.44436196,27.86830458,14.61,17.066,9.621399744,12.77658317,0.809865001,0.743838903,25.37,10.614,10.37308376,9.639990871,76.33333333,71.6,73.37233921,68.96660351,1.061213055,1.073482561,50,11.6,20.49932248,19.23122461,3,3.4,2.466212074,2.954176939,0.936888308,0.84636583,4,1.8,1.632993162,1.496662955
4,104.1931738,111.265085,99.38573881,108.5128369,1.343603358,0.782344666,81.182805,80.101755,29.38307403,21.67019449,643.925,583.3117143,636.746282,579.6996425,1.375148002,0.908778422,218,385.2092857,96.06019922,69.75583031,166.5,159.9614286,165.9764626,159.637511,1.383132539,0.880103587,33,108.2157143,13.27591805,10.57381932,8837.25,7514.357143,8579.450695,7470.11104,1.355735103,0.904359262,5761,4990.214286,2236.2564,904.5364327,64.575,39.24,58.04412904,36.91674944,1.283657843,1.122023081,80.8,19.64914286,29.63598952,16.03798527,11.665,5.530714286,8.910226817,4.441150622,1.161288395,1.200152485,18.44,1.925571429,7.581535135,4.763025695,85.75,75.35714286,60.64911237,63.79179609,1.173473482,0.695715933,139,57,49.83159139,28.32239685,4.25,3.322857143,4.119534288,3.281620098,1.354581075,0.983716962,3,2.031428571,1.089724736,0.574498894
5,74.23165,51.25624615,60.51522055,34.9410012,1.453747136,1.326085464,121.3276,20.75003846,39.44587456,44.19528842,816.36,1004.550769,771.8910221,938.6168919,1.552506364,0.91464499,810.6,701.8280769,282.3952592,341.9115219,160,114.5211538,139.595299,89.674374,1.501217585,1.373358741,205,38.10384615,69.92281459,79.22907109,4816.6858,2941.961769,1074.903488,66.25532114,1.322213067,0.88304382,8958.571,2015.230538,3084.729342,3624.376239,62.09,108.4861538,26.18682439,84.37941097,1.130427572,0.759584229,141,76.72211538,57.64474304,50.10617228,8.0144,5.217134615,4.549684585,1.332469768,1.384657053,1.08869381,12.878,2.905096154,4.438214668,5.619167121,111.005316,94.78354308,13.13117315,1.08870693,0.785623847,0.248749964,399.97342,89.98568769,150.6001991,164.8369928,2.2,2.076923077,2.168943542,2.063362233,1.594166699,1.227802324,1,1.065384615,0.4,0.266469355
2,133.252735,132.4452014,133.1327832,132.3279348,0.692247133,0.688033071,11.30547,13.38337,5.652735,5.594756698,705.05,728.4714286,685.7229032,709.3237962,0.665861434,0.625610192,327.9,264.6714286,163.95,162.2684171,159,153.8571429,154.870914,149.8562626,0.667291667,0.689414288,72,13.28571429,36,35.63075947,6193,6199.714286,6192.821651,6199.539513,0.693118382,0.681811731,94,931.7142857,47,46.51793597,120.6,130.7571429,97.41226822,107.3037412,0.507559531,0.443368813,142.2,88.32857143,71.1,70.37074995,11.9,12.7,10.5,11.29488927,0.577921795,0.517379102,11.2,7.3,5.6,5.542562584,8,7.285714286,6.244997998,5.6239961,0.482577565,0.545594574,10,3.857142857,5,4.948716593,4.5,4.714285714,4.242640687,4.457982867,0.636514168,0.585952618,3,2.142857143,1.5,1.484614978
6,75.88701667,58.577444,55.48310692,35.73957405,1.491767403,1.404877174,192.981,27.34274267,63.54268153,64.15135906,719.65,1004.126667,673.2415729,941.9563231,1.720944514,1.035912842,894.6,694.74,285.7399444,335.9490903,165.3333333,106.4533333,147.4459674,86.57729738,1.70404171,1.668271916,195,23.04,63.7878428,66.91831704,3962.904833,2929.775467,871.1107718,63.66292042,1.274968191,1.107837045,9778.571,1303.237867,3910.550893,3984.183055,69.23333333,106.0536,35.48730989,70.43136467,1.423803601,0.857247579,138.63,75.742,53.32862135,51.81238039,7.182,4.8788,4.141513593,1.300311373,1.527950942,1.421517642,12.878,1.7156,4.534001911,5.249833714,123.8377633,73.28084267,19.76061693,0.982817354,1.149631619,0.841287437,399.97342,53.31915733,140.9930559,137.5455748,2.333333333,2.386666667,2.075781631,2.239107426,1.668173972,1.382187655,4,1.053333333,1.247219129,1.031417579
2,59.1027693,48.3956924,49.61213438,40.49619117,0.537164723,0.659843553,64.2424614,12.4203076,32.1212307,30.28418673,618.45,604.7,617.0727996,603.484856,0.69092115,0.655490187,82.5,164.9,41.25,38.89087297,162,147.3333333,155.9102306,142.0835322,0.655795132,0.690842016,88,10,44,41.48359783,4605.5,3970.333333,4192.815283,3620.693324,0.604928542,0.688790726,3811,370.3333333,1905.5,1796.522629,43.3,43.53333333,43.29434143,43.52829445,0.693016501,0.631445259,1.4,15.13333333,0.7,0.659966329,15.85,14.13333333,14.98999666,13.39663166,0.639389891,0.69310268,10.3,0.133333333,5.15,4.855466564,129,164.3333333,73.5187051,108.2981872,0.300560504,0.188540141,212,149,106,99.93775841,3.5,3.333333333,3.464101615,3.301927249,0.682908105,0.673011667,1,0.666666667,0.5,0.471404521
5,75.10025,51.31693846,61.29864157,34.97268017,1.456707899,1.352656126,121.3276,20.32273462,39.28890171,44.21687993,750.94,1001.704231,705.7326708,934.8305463,1.542128063,0.916945147,810.6,700.3765385,291.8284743,344.3006821,158.8,114.4346154,138.3951612,89.61890461,1.499364398,1.395142264,205,37.35384615,70.27204281,79.20129876,4569.4858,2917.200231,1034.806385,66.02362101,1.32440301,0.920538844,8958.571,1963.538231,2934.508465,3595.289624,67.87,108.1365385,47.8012552,85.17996759,1.307748646,0.774069692,127.05,76.38,52.49885332,50.14055256,7.6624,5.163653846,4.307310535,1.323846828,1.365378643,1.111109778,12.878,2.807423077,4.545448607,5.584714919,92.805316,92.11815846,9.884321853,1.063598337,0.549028713,0.234393237,399.97342,87.67799538,153.8764877,163.318551,2.4,2.088461538,2.352158045,2.073038173,1.589026915,1.262734481,1,1.042307692,0.489897949,0.283964953
6,72.365775,51.21030899,60.85653949,34.91342529,1.655905539,1.353102484,121.3276,20.99476306,36.38316826,44.18747305,748.4833333,1003.239195,710.7215564,937.0141888,1.735456774,0.925983682,810.6,705.9952689,266.4583608,342.784957,157.1666667,114.5569659,140.1087095,89.69410494,1.69880442,1.404322777,205,38.66451265,64.25318842,79.2479545,5292.5715,2945.626202,1481.423687,66.26027585,1.546325641,0.957848446,8958.571,1963.689284,3128.958494,3630.821855,75.475,108.9352258,55.21181968,86.26397763,1.543012781,0.807076616,127.05,76.67820602,50.85228404,49.55597826,9.252,5.274371105,5.425335008,1.337968394,1.561300663,1.175288608,16.978,2.861393184,5.463673367,5.706085494,92.50443,92.71444419,14.30965942,1.074990898,0.905184274,0.26713342,399.97342,87.68474036,140.4709835,163.2064573,2.333333333,2.078852219,2.289428485,2.064976826,1.772139388,1.255152956,1,1.071236249,0.471404521,0.269507972
4,45.71635,54.93917,26.16526325,28.40370024,0.971169912,0.521677501,99.479,46.08716667,40.543952,47.81024493,714.95,705.0516667,704.3280988,691.4590537,1.372343342,1.156514748,283.6,324.765,115.7634765,131.7036769,143,153.6666667,138.3015904,149.7500685,1.356516867,1.085430819,82,68.6,33.2565783,30.11459594,5981.5,6444.083333,3445.644647,3221.824676,1.032519708,0.606022093,11488,5232.016667,4667.157834,5347.341356,64.5,55.58166667,57.32001752,52.92704324,1.274245896,1.169680076,85.3,20.14,30.88988508,17.40408469,21.725,17.70833333,14.40734793,11.32924373,1.071814947,1.027663594,47,7.473333333,17.29036943,15.69630839,68.5,69.33333333,62.05411808,64.97085706,1.307465922,1.078970275,64,27.45,25.03497553,20.1301322,2.5,2.733333333,2.213363839,2.320057268,1.279854226,0.963456085,3,1.7,1.118033989,1.327487183
