 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity
12,260,0.596837942,0.999999994,0.703703699,5,2,0,0,4.757692308,9,0,0,0,0,1,0,4,3100,830.4285714,0,690400,155394.8889,0,3950,2098.516505,1800,1800,1800,0,1,0,0,0,0,0,0,0.022224256,0.022224802,0.560574614,0.022223826,0.372752503,0.354809253,0.136576705,0.026923077,0.007692308,0.777777778,0.222222222,0.353246753,0.136363636,0.5,-0.14375,-0.1875,-0.1,0.4,-0.25,0.1,0.25
8,485,0.526785713,0.999999997,0.611285265,33,2,16,0,4.783505155,9,1,0,0,0,0,0,4,821,299.75,0,843300,165244.4444,0,7742.692308,3597.216577,1100,1100,1100,1,0,0,0,0,0,0,0,0.022419189,0.022255352,0.02223574,0.151283675,0.781806043,0.593243243,0.368018018,0.063917526,0.004123711,0.939393939,0.060606061,0.524193548,0.1,1,-0.35,-0.5,-0.2,0,0,0.5,0
13,68,0.852941164,0.999999974,0.897435874,3,1,0,0,4.779411765,8,0,0,0,0,0,0,4,350,150.25,3900,843300,244437.5,1493.352941,5156.886974,3372.717374,0,0,0,0,0,0,0,0,0,1,1,0.025000087,0.809200458,0.025000039,0.115799368,0.025000048,0.5,0.25,0.058823529,0,1,0,0.375,0.25,0.5,0,0,0,0.25,0.125,0.25,0.125
15,836,0.47868453,0.999999998,0.639999999,16,5,1,0,4.759569378,10,0,0,0,0,1,0,-1,1500,268.625,0,843300,287400,0,10850,2949.93382,3800,3800,3800,0,0,0,0,0,1,0,1,0.020078529,0.345676427,0.020203778,0.073616668,0.540424599,0.461531572,0.157359307,0.040669856,0.013157895,0.755555556,0.244444444,0.39872358,0.0625,1,-0.219372294,-0.6,-0.05,0,0,0.5,0
9,560,0.534671532,0.999999997,0.712574848,4,2,1,0,4.767857143,8,0,0,0,0,0,1,217,632,381.75,1200,69100,22662.5,866,2610.425884,1764.714683,1000,1700,1350,0,0,0,1,0,0,0,0,0.274781114,0.025000193,0.650217505,0.025000061,0.025001128,0.402728585,0.074281779,0.035714286,0.021428571,0.625,0.375,0.336564935,0.1,1,-0.225,-0.5,-0.05,0,0,0.5,0
7,103,0.73529411,0.999999986,0.861111099,6,3,0,0,5.194174757,5,0,0,0,0,0,0,4,205,81.6,53100,843300,389080,3294.038255,5245.01137,4136.26844,2800,2800,2800,1,0,0,0,0,0,0,0,0.040000087,0.040164751,0.040059807,0.839769216,0.040006139,0.783333333,0.566666667,0.048543689,0,1,0,0.493333333,0.166666667,1,0,0,0,1,-0.5,0.5,0.5
11,859,0.444183313,0.999999998,0.633401221,28,8,5,0,4.675203725,10,1,0,0,0,0,0,-1,572,137.7777778,0,843300,268310,0,5714.014563,3472.180507,1500,8000,4750,0,0,0,1,0,0,0,0,0.020161044,0.020021235,0.28116054,0.020037209,0.658619971,0.4523559,0.079611843,0.036088475,0.020954598,0.632653061,0.367346939,0.329304566,0.033333333,1,-0.248688272,-0.8,-0.05,0.2,-0.1,0.3,0.1
11,576,0.495378927,0.999999997,0.643076921,5,5,12,0,4.322916667,8,0,0,1,0,0,0,-1,346,179.07375,7900,843300,229137.5,1379.725664,3574.804905,2511.635039,936,8400,4668,1,0,0,0,0,0,0,0,0.289946798,0.02500063,0.151251807,0.025000092,0.508800673,0.463340175,0.118713738,0.046875,0.027777778,0.627906977,0.372093023,0.36866843,0.16,0.5,-0.185540675,-1,-0.025,0,0,0.5,0
13,823,0.452205882,0.999999998,0.660753879,8,1,1,1,4.431348724,6,0,1,0,0,0,0,4,349,140.75,0,690400,154133.3333,0,3729.535112,2151.740673,1200,1200,1200,0,0,0,0,1,0,0,0,0.035650279,0.492481619,0.40321674,0.033873312,0.03477805,0.441529694,-0.052834991,0.024301337,0.037667072,0.392156863,0.607843137,0.328636364,0.1,0.5,-0.321102151,-0.5,-0.05,0.313636364,0.034090909,0.186363636,0.034090909
11,755,0.485868102,0.999999998,0.646808509,13,2,2,2,5.00397351,8,0,0,0,0,0,1,-1,653,235.625,1700,843300,284650,873,3575.012525,2172.197132,1900,1900,1900,0,1,0,0,0,0,0,0,0.025001174,0.025000108,0.899950075,0.025047441,0.025001202,0.379188948,0.182204397,0.031788079,0.010596026,0.75,0.25,0.474684343,0.136363636,1,-0.25625,-0.5,-0.2,0,0,0.5,0
9,320,0.567398117,0.999999995,0.685279184,5,3,16,0,5.065625,5,0,0,0,1,0,0,4,451,307.75,0,617900,146240,0,4251.35249,2772.846946,1200,1200,1200,0,0,0,1,0,0,0,0,0.408114815,0.040009141,0.281387461,0.040171212,0.23031737,0.478623188,0.101449275,0.021875,0.015625,0.583333333,0.416666667,0.385714286,0.25,0.5,-0.113333333,-0.133333333,-0.05,0.6,0.066666667,0.1,0.066666667
11,273,0.614814813,0.999999994,0.799999995,11,5,1,1,4.772893773,9,0,0,1,0,0,0,-1,637,262.2877778,2200,843300,330044.4444,1258.142857,5102.04929,2639.196695,1700,1800,1750,1,0,0,0,0,0,0,0,0.911110662,0.022222374,0.022222431,0.022222274,0.022222259,0.307263107,0.061544012,0.032967033,0.014652015,0.692307692,0.307692308,0.276936027,0.033333333,0.5,-0.225,-0.4,-0.166666667,0,0,0.5,0
9,1041,0.50148662,0.999999998,0.74696707,9,1,1,1,4.709894332,4,0,0,0,1,0,0,-1,719,371.3333333,0,843300,218800,0,4273.7,2570.807664,2800,2800,2800,0,0,0,1,0,0,0,0,0.050009122,0.301052816,0.050005671,0.548928225,0.050004167,0.51019749,0.188766611,0.050912584,0.015369837,0.768115942,0.231884058,0.405121294,0.1,1,-0.29453125,-0.5,-0.1,0.4,-0.1,0.1,0.1
14,639,0.475667189,0.999999997,0.662952644,13,8,1,0,4.912363067,10,0,1,0,0,0,0,-1,816,223,7500,843300,193970,1499.190476,3871.076705,3075.101759,758,5900,4051.142857,0,1,0,0,0,0,0,0,0.02000092,0.523860123,0.317174888,0.020726349,0.11823772,0.407170543,0.01879845,0.023474178,0.025039124,0.483870968,0.516129032,0.332888889,0.1,0.5,-0.2203125,-0.4,-0.1,0,0,0.5,0
10,481,0.563941299,0.999999997,0.744897957,7,7,1,0,4.781704782,8,0,0,0,0,0,1,4,923,334.8571429,0,690400,256962.5,0,3785.428571,2607.755795,670,1100,884.5,0,1,0,0,0,0,0,0,0.316769002,0.025090641,0.60757948,0.025255265,0.025305612,0.394933333,0.2372,0.035343035,0.004158004,0.894736842,0.105263158,0.395098039,0.1,1,-0.183333333,-0.2,-0.166666667,0,0,0.5,0
9,342,0.535502957,0.999999995,0.699507386,3,3,1,0,4.315789474,4,0,1,0,0,0,0,4,522,159.5,68300,843300,302225,2850.446267,8388.4,4417.429498,1900,1900,1900,0,0,0,1,0,0,0,0,0.050002077,0.052643455,0.050001129,0.797102875,0.050250465,0.410692039,0.124924844,0.052631579,0.011695906,0.818181818,0.181818182,0.321248196,0.136363636,1,-0.224305556,-0.4,-0.05,0,0,0.5,0
8,159,0.686274505,0.999999991,0.691588779,8,5,1,0,5.264150943,4,0,0,1,0,0,0,217,507,350,44700,617900,258900,2106.017751,4457.653061,3204.336397,1400,4500,2775,0,0,0,0,1,0,0,0,0.799570411,0.050000103,0.050003584,0.05042583,0.050000073,0.380601343,0.106120269,0.044025157,0.031446541,0.583333333,0.416666667,0.373469388,0.2,0.8,-0.209444444,-0.3,-0.1,0.2,-0.05,0.3,0.05
9,220,0.610328636,0.999999992,0.763779522,6,6,1,0,4.659090909,7,0,0,0,0,1,0,4,570,178.4285714,15700,843300,161900,2064.901471,3266.698581,2768.801462,1300,8200,3850,0,0,0,1,0,0,0,0,0.02862417,0.028572288,0.18509134,0.028571656,0.729140545,0.396658052,0.082921607,0.040909091,0.027272727,0.6,0.4,0.330429293,0.0625,0.5,-0.177777778,-0.3,-0.1,0,0,0.5,0
9,516,0.422090729,0.999999996,0.590405902,3,3,1,0,4.583333333,4,0,0,1,0,0,0,-1,693,173.1475,3700,843300,538825,1683.454545,3477.720952,2758.524118,1300,12800,5466.666667,0,0,0,0,1,0,0,0,0.300357132,0.050001508,0.299926471,0.299460355,0.050254534,0.49235843,0.069272844,0.032945736,0.023255814,0.586206897,0.413793103,0.354201681,0.1,0.6,-0.302083333,-0.7,-0.1,0.9,0.4,0.4,0.4
7,559,0.493554327,0.999999997,0.690095844,3,3,11,1,4.373881932,8,0,0,0,0,1,0,-1,1500,475,4100,843300,223137.5,2433.333333,4055.072917,3288.22066,1300,13900,7600,0,0,0,1,0,0,0,0,0.025000255,0.025000625,0.02500165,0.025000146,0.899997324,0.516641337,0.222164272,0.053667263,0.017889088,0.75,0.25,0.438751804,0.05,1,-0.253333333,-0.6,-0.166666667,0,0,0.5,0
15,677,0.417565485,0.999999998,0.547911547,8,3,2,0,4.957163959,10,0,0,0,0,0,1,-1,533,276.1,3300,843300,182470,1188.222222,4786.907407,2630.997483,1500,1900,1766.666667,0,0,1,0,0,0,0,0,0.020467348,0.020000144,0.566924308,0.020023478,0.372584722,0.334304548,0.02982445,0.036927622,0.038404727,0.490196078,0.509803922,0.313859307,0.0625,0.8,-0.205769231,-0.9,-0.1,0.325,0.05,0.175,0.05
10,282,0.477099235,0.999999993,0.590604023,3,2,1,0,4.485815603,5,0,0,1,0,0,0,217,648,442,2500,69100,20260,1317.153846,2529.453293,1844.43822,836,836,836,0,1,0,0,0,0,0,0,0.639902358,0.240027766,0.040000303,0.040004822,0.04006475,0.353739316,0.141773504,0.042553191,0.028368794,0.6,0.4,0.433333333,0.2,0.5,-0.089236111,-0.155555556,-0.025,0,0,0.5,0
10,756,0.496671105,0.999999998,0.656652359,17,5,2,0,5.125661376,10,0,0,0,0,1,0,-1,798,99.88888889,0,843300,320850,0,3413.302575,2098.502791,859,2000,1283.6,0,0,0,1,0,0,0,0,0.020021119,0.020002308,0.730549781,0.020000881,0.20942591,0.485027677,0.05496771,0.033068783,0.018518519,0.641025641,0.358974359,0.340121212,0.1,0.7,-0.31547619,-0.8,-0.05,0.45,0.2,0.05,0.2
11,277,0.647773277,0.999999993,0.811188806,5,5,27,1,4.111913357,9,0,1,0,0,0,0,4,484,157.4285714,0,843300,243055.5556,0,4289.541667,2113.706105,1300,1400,1350,0,1,0,0,0,0,0,0,0.473220769,0.458793015,0.022226217,0.023524565,0.022235434,0.552380952,0.308928571,0.036101083,0.003610108,0.909090909,0.090909091,0.461666667,0.1,1,-0.291666667,-0.291666667,-0.291666667,1,0.5,0.5,0.5
8,255,0.623015871,0.999999993,0.766666662,6,1,1,0,4.415686275,5,0,0,1,0,0,0,217,575,422.75,0,28000,7260,0,2240.536313,1325.216786,0,0,0,0,0,0,1,0,0,0,0,0.839899486,0.040000591,0.040075078,0.040000257,0.040024588,0.497399892,0.010121753,0.035294118,0.023529412,0.6,0.4,0.1628367,0.05,0.5,-0.210515873,-0.5,-0.025,0.454545455,0.136363636,0.045454545,0.136363636
8,217,0.578947366,0.999999991,0.810810804,7,1,1,1,4.414746544,9,0,0,0,0,0,1,-1,602,178,0,843300,268744.4444,0,3719.823834,2131.043011,11700,11700,11700,0,0,1,0,0,0,0,0,0.022226107,0.133937974,0.356776791,0.022300821,0.464758307,0.403409091,0.077272727,0.01843318,0.004608295,0.8,0.2,0.318181818,0.136363636,0.5,-0.5,-0.5,-0.5,0.454545455,0.136363636,0.045454545,0.136363636
8,172,0.68823529,0.99999999,0.879999991,4,3,0,0,4.965116279,8,0,0,0,0,1,0,217,1800,699,0,51900,25012.5,0,4180.693878,2446.190395,1300,1300,1300,0,0,0,0,0,1,0,1,0.157541092,0.025105958,0.413034794,0.025005975,0.37931218,0.408205128,0.18025641,0.058139535,0.011627907,0.833333333,0.166666667,0.296833333,0.1,0.6,-0.125,-0.2,-0.05,0,0,0.5,0
13,582,0.554385964,0.999999997,0.706043954,12,2,1,0,4.719931271,6,1,0,0,0,0,0,-1,878,314.6,0,843300,292850,0,4557.333548,2877.957197,4600,4600,4600,1,0,0,0,0,0,0,0,0.866114702,0.033336606,0.033334564,0.033382859,0.03383127,0.541789547,0.135506854,0.034364261,0.013745704,0.714285714,0.285714286,0.377922078,0.1,1,-0.399652778,-0.8,-0.125,0.4,0.2,0.1,0.2
8,638,0.500799999,0.999999997,0.663291138,15,3,14,0,4.587774295,6,0,0,0,0,1,0,-1,608,189.3333333,12800,843300,486033.3333,2923.462705,4402.106667,3638.647101,104100,104100,104100,0,1,0,0,0,0,0,0,0.033475251,0.033335602,0.035861372,0.037995167,0.859332609,0.42493955,0.101757927,0.028213166,0.006269592,0.818181818,0.181818182,0.316206109,0.1,0.7,-0.110416667,-0.166666667,-0.05,0.2,0.2,0.3,0.2
9,981,0.457348407,0.999999998,0.619205297,13,0,1,0,5.183486239,6,0,0,0,1,0,0,-1,665,233.5,6800,843300,229166.6667,2436.225806,6121.01875,3629.71328,0,0,0,0,0,0,0,1,0,0,0,0.033333851,0.033334121,0.035643974,0.033336235,0.864351819,0.432433677,0.075717893,0.043832824,0.019367992,0.693548387,0.306451613,0.268666566,0.033333333,0.7,-0.242982456,-0.6,-0.1,0.85,0.25,0.35,0.25
12,1281,0.407437348,0.999999999,0.588888888,7,6,9,0,4.722872756,7,0,0,1,0,0,0,-1,473,165.4316667,0,843300,248042.8571,0,3573.282118,2538.207193,863,12700,5654.333333,0,0,0,1,0,0,0,0,0.38576305,0.528123533,0.028694316,0.028573532,0.028845569,0.432536156,0.066008885,0.031225605,0.021077283,0.597014925,0.402985075,0.311904491,0.0625,0.8,-0.25159465,-0.75,-0.1,0,0,0.5,0
9,816,0.463078848,0.999999998,0.627572015,22,8,1,0,4.734068627,10,0,0,0,0,0,1,-1,425,199,4800,843300,206380,1439.25,4384.496241,2694.7259,961,1400,1180.5,0,0,0,0,1,0,0,0,0.118063534,0.020000583,0.716486986,0.02000028,0.125448617,0.427875222,0.246204657,0.074754902,0.006127451,0.924242424,0.075757576,0.385160741,0.033333333,1,-0.305,-0.5,-0.1,0,0,0.5,0
10,239,0.571428569,0.999999993,0.738805965,5,3,1,1,4.506276151,8,0,0,0,0,1,0,-1,1800,463.375,1800,843300,228337.5,1717.607143,5580.142857,3182.010554,1000,1000,1000,1,0,0,0,0,0,0,0,0.025004494,0.025005243,0.025004476,0.147223707,0.777762079,0.599908425,0.191025641,0.025104603,0.016736402,0.6,0.4,0.516666667,0.2,1,-0.154166667,-0.2,-0.125,0,0,0.5,0
11,263,0.638783268,0.999999994,0.787499995,4,2,1,0,4.72243346,8,0,1,0,0,0,0,217,368,308.25,0,69100,27137.5,0,4354.597561,1390.336884,3900,12800,8350,0,0,1,0,0,0,0,0,0.025002301,0.899957587,0.025001488,0.02503752,0.025001104,0.51031746,0.190079365,0.038022814,0.02661597,0.588235294,0.411764706,0.595,0.1,1,-0.303571429,-0.7,-0.125,0.133333333,0.016666667,0.366666667,0.016666667
9,316,0.552542371,0.999999995,0.7037037,4,3,1,0,5.212025316,7,0,0,0,0,1,0,217,503,324.4,0,80400,29114.28571,0,2945.312989,1866.623404,1700,1700,1700,0,0,1,0,0,0,0,0,0.028645135,0.028627729,0.028576568,0.028572919,0.885577649,0.364121024,0.029919537,0.025316456,0.018987342,0.571428571,0.428571429,0.243310335,0.033333333,0.5,-0.209722222,-0.25,-0.125,0,0,0.5,0
6,241,0.653508769,0.999999993,0.753424652,12,1,11,0,4.813278008,8,0,0,0,0,0,0,-1,11700,1787.571429,0,843300,298412.5,0,11700,5376.613049,21000,21000,21000,0,0,0,0,0,1,0,1,0.025004622,0.0250562,0.025000822,0.899068977,0.025869378,0.499918922,0.004841897,0.045643154,0.049792531,0.47826087,0.52173913,0.388911846,0.1,1,-0.338888889,-0.7,-0.125,1,-0.5,0.5,0.5
11,691,0.487332339,0.999999998,0.605381165,23,21,11,0,4.735166425,10,0,0,0,1,0,0,4,1500,346.6,7200,690400,114960,1526.636364,10175,3670.510434,1400,59000,22735.29412,0,0,0,0,0,1,0,1,0.327386446,0.020002998,0.132019085,0.020103348,0.500488123,0.569522779,0.101071686,0.052098408,0.020260492,0.72,0.28,0.323881674,0.033333333,0.9,-0.251587302,-0.8,-0.05,0.4375,0.1875,0.0625,0.1875
13,1241,0.34392828,0.999999999,0.514200298,6,6,1,0,4.599516519,5,0,0,0,1,0,0,4,3900,1170,0,690400,161180,0,6400,3476.699501,907,4600,2621.4,0,0,0,0,0,1,0,1,0.38265385,0.040027553,0.49676035,0.040176816,0.040381431,0.445717993,0.147373473,0.052377115,0.010475423,0.833333333,0.166666667,0.314078422,0.033333333,0.8,-0.256517094,-0.5,-0.1,0,0,0.5,0
10,923,0.477124182,0.999999998,0.644714037,34,32,30,0,4.560130011,9,0,0,0,0,0,0,4,1100,490,6800,617900,166444.4444,2800,6285,4403.669921,191,17300,2340.064516,0,0,0,0,0,0,1,1,0.022222329,0.908740939,0.022222273,0.024592139,0.02222232,0.46085461,0.082675884,0.057421452,0.034669556,0.623529412,0.376470588,0.316813689,0.05,1,-0.266319444,-0.7,-0.033333333,1,0,0.5,0
8,427,0.590047392,0.999999996,0.727941174,15,6,1,1,5.278688525,8,0,0,0,0,0,1,4,985,335,0,690400,100912.5,0,3648.75,1667.703751,1300,1800,1466.666667,1,0,0,0,0,0,0,0,0.02500332,0.025003755,0.778439251,0.025002084,0.146551589,0.479184704,0.107683983,0.023419204,0.021077283,0.526315789,0.473684211,0.36530303,0.033333333,0.75,-0.188580247,-0.5,-0.1,0,0,0.5,0
10,409,0.540404039,0.999999996,0.712499997,2,2,0,4,4.919315403,9,0,0,0,0,0,1,-1,952,249.2222222,9500,843300,243400,1954.036496,3417.404237,2601.850871,1200,1200,1200,0,1,0,0,0,0,0,0,0.022222477,0.022222338,0.778474481,0.022222311,0.154858394,0.395199014,0.077746212,0.041564792,0.017114914,0.708333333,0.291666667,0.318168449,0.05,1,-0.35,-1,-0.125,0,0,0.5,0
15,660,0.555214723,0.999999998,0.729064038,7,2,1,0,4.740909091,5,0,1,0,0,0,0,-1,461,111,4200,843300,293800,1305.5,3638.569716,2916.459876,2400,4200,3300,0,0,0,0,1,0,0,0,0.04000153,0.50115949,0.040000706,0.378837526,0.040000749,0.494198511,0.175072685,0.071212121,0.021212121,0.770491803,0.229508197,0.408780971,0.1,1,-0.410714286,-0.8,-0.05,0.75,0.368181818,0.25,0.368181818
7,990,0.475177304,0.999999998,0.680272108,22,5,2,0,4.548484848,6,0,0,1,0,0,0,-1,1100,376.4316667,13400,843300,338766.6667,3386.193334,5799.485714,4393.931231,3300,6800,4466.666667,0,0,0,0,0,0,1,1,0.866551796,0.033335675,0.033334277,0.033368373,0.033409879,0.391952799,0.128542758,0.044444444,0.018181818,0.709677419,0.290322581,0.374013676,0.033333333,0.8,-0.210835538,-0.5,-0.05,0,0,0.5,0
12,185,0.580110494,0.99999999,0.693877544,4,3,1,0,4.567567568,5,0,0,1,0,0,0,-1,946,205.8,6800,843300,578900,2795.222222,4558.398954,3492.400891,5800,9700,7566.666667,1,0,0,0,0,0,0,0,0.839857583,0.040027586,0.040055613,0.040058769,0.040000449,0.362083333,0.09375,0.027027027,0.005405405,0.833333333,0.166666667,0.29,0.1,0.5,-0.125,-0.125,-0.125,0,0,0.5,0
