lepton_pT,lepton_eta,lepton_phi,missing_energy_magnitude,missing_energy_phi,jet1_pt,jet1_eta,jet1_phi,jet1_b-tag,jet2_pt,jet2_eta,jet2_phi,jet2_b-tag,jet3_pt,jet3_eta,jet3_phi,jet3_b-tag,jet4_pt,jet4_eta,jet4_phi,jet4_b-tag,m_jj,m_jjj,m_lv,m_jlv,m_bb,m_wbb,m_wwbb
0.469052285,0.677828074,-0.44357565,1.533483624,-0.652180672,2.12125659,0.004925714,1.200383425,1.086538076,0.868230522,-0.411802143,-0.673769355,0,0.665429235,1.192598581,-0.841733336,0,0.85168165,0.440935642,0.158543408,3.101961374,0.84841162,0.64287442,0.9876194,1.839784265,1.20890677,1.209282279,0.997120738
1.609930992,1.024561048,0.917047441,0.088978425,-0.757931471,0.392262101,0.625799894,-0.958459437,0,0.723189652,1.136567473,-0.596093118,2.214872122,1.132055163,-0.116338938,-1.212296486,2.548224449,0.895981729,-0.186180279,0.767836869,0,0.989550769,0.817938685,0.990465105,0.975839198,0.839271665,0.789938271,0.698708117
0.597707689,1.77549088,-0.754300237,2.520874023,-0.555654109,0.962242186,-0.220846713,1.301834226,1.086538076,0.749629438,0.959777415,1.525681496,0,0.541791856,1.235380292,0.975684941,0,0.462230176,-0.09207125,-0.387592733,1.550980687,0.600789607,0.848942399,1.003906727,0.57342577,0.706063509,1.072690487,0.894754767
0.80267787,0.298954248,-1.513350487,0.804647088,0.111624748,0.956379354,-0.168364525,1.040723324,2.173076153,0.764989614,-0.51962465,-1.006112456,1.107436061,0.772909462,-1.594582796,-0.673648536,0,0.563730955,-0.30110988,-0.006368359,0,0.75401938,1.08739984,1.10713315,0.767567992,1.2331388,0.80001539,0.764989674
0.858129621,0.713864923,-1.35965395,1.277348757,-1.561035872,0.795883477,0.758490682,0.257945418,2.173076153,0.701786101,-0.160216391,-0.529510796,0,1.042488217,-0.605142474,0.744360268,2.548224449,0.606327236,-0.004624806,0.587490439,0,0.721280098,0.763806045,0.986849189,0.978318691,1.005656362,0.969741642,0.80158639
2.358621359,1.375189781,1.261616349,0.247093305,-1.080456376,0.615692079,-1.001147866,-0.538240671,1.086538076,0.772417963,-0.007710717,-0.255979687,0,0.482783049,0.77934581,-0.2126607,2.548224449,0.79983592,-1.180571198,1.64237833,0,1.281247854,0.898728609,0.985851884,0.754935026,0.756212056,1.155886531,1.087905645
2.088133812,0.972940683,1.342626095,0.216396689,-0.632344782,0.628791928,0.524796367,-0.327023119,2.173076153,0.277617216,1.738819122,-0.31423682,0,0.298556268,-2.186244249,-1.473576903,0,0.800079286,-0.530136287,-0.386482894,3.101961374,1.809312224,1.052901149,0.988002539,1.021555901,0.464975089,0.79310596,0.885418415
0.527249157,-0.670144677,1.643915772,0.791879177,0.887332916,1.055040359,-0.308977187,-1.680810571,2.173076153,1.026868939,0.215705231,0.357764721,1.107436061,0.770977676,-0.076288,-0.270907909,0,1.110910177,-1.140595794,-0.969143331,0,0.924297869,1.048966527,0.993363678,0.863381445,1.533964992,0.968174219,0.857712269
0.795357525,0.32719934,0.946455121,0.6359514,1.336937428,0.579140842,-0.699127734,-1.370914698,0,0.560900092,-1.440486789,-0.119491577,0,0.806980073,0.222273573,-0.533852458,2.548224449,0.370952487,0.760739744,-0.592358053,1.550980687,0.679498136,0.689477384,0.992534697,0.645238519,0.144176945,0.562729359,0.537424147
1.206761956,-0.413990915,-1.71642971,1.066250324,1.487449288,0.696123242,0.097017094,-0.013801292,0,0.751266122,0.686821461,-0.712052643,0,0.402875364,-0.980165005,-0.097275756,0,0.611682177,0.460923374,0.811119974,3.101961374,0.964700043,0.705922484,0.970035017,0.879457116,0.131730676,0.641918898,0.722740293
1.549721003,0.797626257,1.492438555,1.589125156,1.68559742,0.795700312,1.540772319,-1.126435161,0,0.580289245,-0.581792533,0.842685997,2.214872122,1.298719764,0.271427006,0.940181851,0,2.213544607,1.226287961,-0.061859343,3.101961374,1.169623256,1.101296067,0.990003347,0.890056372,1.462738514,1.164173126,1.238095403
1.378058553,-1.107456565,-0.521255732,0.712330461,-0.07575959,1.037085295,-0.827857673,1.003580213,2.173076153,1.170147181,-0.523510098,-1.663585901,1.107436061,0.785729885,-0.865473568,-1.146837831,0,0.783284247,-0.835782409,-0.244425416,0,0.629265308,1.006659985,0.982839108,1.096447468,1.115810513,1.011478066,0.822791278
2.268214703,-1.236020565,-0.322615325,0.292976707,-1.395671844,0.447959304,-1.928993225,0.196964115,0,0.984691262,-0.3622621,1.157829285,2.214872122,1.221095085,-1.481711984,-1.699354053,2.548224449,0.448112547,2.10325098,-0.255523652,0,3.177668095,1.981114268,0.986752212,1.0096246,0.999857187,1.457409859,1.331314683
0.74576205,0.166494519,-0.825877309,1.345574379,1.631362319,1.059437513,0.340613663,1.184306502,2.173076153,1.21622777,0.331298679,0.242360115,2.214872122,0.450117469,-1.721107483,-0.453415781,0,0.852168381,-0.865764022,-0.82875061,0,0.406288743,0.982078552,1.11006856,0.915957689,1.254787087,0.931348562,0.869234681
1.66739583,-0.03511703,-1.435669899,1.472049236,1.356762171,1.080323935,0.622829199,0.014020258,2.173076153,1.300960898,0.72179085,-1.09932375,2.214872122,1.322253108,1.130701661,0.549093544,0,1.101660728,-0.004624806,-0.466945171,0,0.812416732,1.043768644,1.269801617,1.129377365,1.474550247,1.221429706,1.133138657
0.711173356,0.064227782,-0.545114756,0.8751266,0.433012396,0.702077687,0.920888424,-0.74890554,0,1.139930248,0.781044722,-1.741261959,2.214872122,1.051269293,0.352439135,-0.193799704,0,2.009812832,0.170268074,1.065269709,1.550980687,0.854228377,1.174756646,0.990182579,0.875691772,0.888873398,0.951407671,0.91017592
1.074629426,0.379793644,-1.612115741,2.717255116,0.533776462,0.938790798,-0.543661714,-0.94737196,2.173076153,0.342457533,1.32987082,0.308939695,0,0.501574516,1.880746722,-1.04920435,0,0.939308226,0.004536249,1.699534297,3.101961374,0.639127851,0.735651791,2.21267724,1.795573711,0.736511946,1.157459855,1.03498435
0.676950693,0.966122866,0.869329393,0.875231385,1.53104496,2.447011948,-0.690215707,0.529589295,0,2.367993116,0.507117331,-1.193090081,2.214872122,1.257097602,-0.606962979,-0.750202,2.548224449,1.12746191,0.221903116,-0.667826116,0,0.973985553,1.118409038,0.984320402,1.658433914,1.357269645,1.391441464,1.146432638
0.751252294,0.376871735,0.0259402,1.047270179,-1.093848586,0.774539053,2.415145159,0.416496754,0,1.845115781,0.862640083,-1.557613373,2.214872122,1.514909744,-0.094492972,0.53078723,0,0.879916906,-1.93261075,-1.253258348,0,0.892080784,0.916381419,1.03939712,1.029147983,0.7131356,1.219011426,1.01833725
0.526700199,-2.024935246,-0.822548151,0.740556657,-1.545445681,0.574926853,-1.124926567,1.388871193,2.173076153,0.653942764,-0.893603504,-1.133168459,0,1.422357202,-0.447669476,0.463109523,1.274112225,0.658416331,0.196918413,0.343329102,0,0.980794311,0.897871614,0.993949533,0.696866989,0.913389921,0.729567528,0.678670585
1.191023231,0.208375171,0.539186895,0.669171751,1.154618025,0.488632888,-1.543793797,-1.535564184,0,0.381739408,-1.743555307,0.740042448,0,0.985060096,0.218632579,-1.21728909,1.274112225,0.475130767,0.687451303,-0.134552822,3.101961374,0.82037729,0.905045152,0.986715376,0.891019464,0.460014075,0.727220774,0.866467953
1.221768737,1.185265899,0.877097487,0.469499439,-1.387990594,0.684214354,-0.441668004,-1.127543926,2.173076153,0.5461694,-0.184500724,1.288769126,0,0.625036359,0.81757623,-0.130559877,0,1.095332146,0.095313981,0.044786435,3.101961374,0.999310613,0.943077683,0.985860527,0.810246885,0.839113653,0.883746803,0.761632502
0.54921031,1.782308817,-0.527359724,1.223816872,-0.510744214,0.689252675,-0.370371431,1.072877049,0,0.910785854,-0.244725898,-1.152032614,0,1.103604436,0.259593755,0.440920144,2.548224449,1.476994634,0.050341528,1.710077643,1.550980687,1.529081941,0.95823729,0.993701398,0.836711705,0.894822776,0.783082366,0.864027798
0.755278528,-1.337313294,1.568454623,1.576578975,1.243152499,1.516557455,-1.156613946,-0.461181939,2.173076153,0.482839882,0.948120952,1.254369617,2.214872122,0.508774996,-1.129445791,0.161333516,0,0.678619087,-0.948213637,1.120760918,0,0.494197249,0.8872087,0.994892776,0.835641026,2.054293633,1.311665893,0.988406122
0.318069786,-1.889553547,1.512413621,2.095540285,-1.46334362,3.248117208,-1.237812757,0.198627248,0,1.088939309,-0.433172375,1.308743,0,0.869852483,-1.107599854,1.702942967,0,3.121453524,-0.051262908,-0.9619295,3.101961374,0.988701224,1.170799732,0.988547921,0.514999211,0.778313935,0.760866761,0.707256556
